Model,Precision Score,Recall Score,F1 Score,Accuracy Score
KNeighborsClassifier,0.7469135802469136,0.5654205607476636,0.6436170212765957,0.7755443886097152
SVC,0.8761061946902655,0.46261682242990654,0.6055045871559633,0.7839195979899497
GaussianNB,0.6707317073170732,0.514018691588785,0.5820105820105819,0.7353433835845896
DecisionTreeClassifier,0.7016574585635359,0.5934579439252337,0.6430379746835443,0.7638190954773869
RandomForestClassifier,0.7386363636363636,0.6074766355140186,0.6666666666666667,0.7822445561139029
AdaBoostClassifier,0.8739495798319328,0.48598130841121495,0.6246246246246245,0.7906197654941374
XGBClassifier,0.7654320987654321,0.5794392523364486,0.6595744680851063,0.7855946398659966
